ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
FD,8.315,reg,0.035627489,Baking Goods,146.6444,49,25,Medium,Tier 1,Supermarket Type1,870.8664
NC,13.14231395348837,lf,0.075368868,Health and Hygiene,35.2532,27,39,Medium,Tier 3,Supermarket Type3,970.7364
DR,8.575,lf,0.023934398,Soft Drinks,105.828,45,22,Small,Tier 2,Supermarket Type1,958.752
FD,19.35,reg,0.062516602,Baking Goods,163.9184,35,20,Small,Tier 2,Supermarket Type1,3137.2496
FD,12.987879554655871,lf,0.044248175,Snack Foods,126.202,27,39,Medium,Tier 3,Supermarket Type3,3668.558
FD,12.81734421364985,lf,0.029299175,Meat,140.318,19,39,Small,Tier 1,Grocery Store,139.818
FD,10.195,reg,0.017666978,Starchy Foods,239.4538,45,22,Small,Tier 2,Supermarket Type1,4566.7222
FD,12.987879554655871,reg,0.076483451,Snack Foods,163.1236,27,39,Medium,Tier 3,Supermarket Type3,2416.854
DR,5.88,lf,0.003599378,Hard Drinks,152.2998,45,22,Small,Tier 2,Supermarket Type1,3075.996
DR,11.400327868852461,lf,0.075192072,Hard Drinks,56.0614,27,39,Medium,Tier 3,Supermarket Type3,2597.2858
FD,12.867061281337046,reg,0.0,Frozen Foods,130.531,27,39,Medium,Tier 3,Supermarket Type3,5582.733
NC,19.1,lf,0.178272728,Household,172.4422,17,17,Small,Tier 2,Supermarket Type1,1551.9798
DR,11.847459893048129,lf,0.01724183,Soft Drinks,197.0768,27,39,Medium,Tier 3,Supermarket Type3,8868.456
FD,18.85,lf,0.042614361,Canned,255.333,13,37,High,Tier 3,Supermarket Type1,1794.331
FD,12.305705009276437,lf,0.101561568,Canned,181.9292,27,39,Medium,Tier 3,Supermarket Type3,3101.2964
FD,19.0,reg,0.162882227,Frozen Foods,46.8718,10,26,Small,Tier 3,Grocery Store,189.0872
FD,12.277108208955223,lf,0.016476619,Baking Goods,74.338,19,39,Small,Tier 1,Grocery Store,146.476
FD,6.75,reg,0.108679906,Dairy,95.6752,18,15,Medium,Tier 3,Supermarket Type2,1246.3776
NC,11.5,lf,0.01774202,Health and Hygiene,129.6626,17,17,Small,Tier 2,Supermarket Type1,1836.2764
NC,6.235,lf,0.033807904,Household,258.9962,10,26,Small,Tier 3,Grocery Store,258.9962
NC,20.25,lf,0.059268885,Household,246.446,17,17,Small,Tier 2,Supermarket Type1,3695.19
NC,18.1,lf,0.048931174,Household,127.3336,35,20,Small,Tier 2,Supermarket Type1,1150.5024
FD,19.35,reg,0.049712775,Fruits and Vegetables,78.2644,49,25,Medium,Tier 1,Supermarket Type1,1492.7236
FD,9.0,lf,0.082177842,Frozen Foods,214.1534,45,22,Small,Tier 2,Supermarket Type1,1720.4272
FD,13.6,reg,0.119418124,Dairy,231.03,45,22,Small,Tier 2,Supermarket Type1,5359.69
FD,8.63,reg,0.032882271,Snack Foods,113.5518,13,37,High,Tier 3,Supermarket Type1,2732.4432
FD,17.0,lf,0.055545797,Dairy,220.5114,45,22,Small,Tier 2,Supermarket Type1,5321.0736
NC,20.2,lf,0.100319317,Household,188.6898,18,15,Medium,Tier 3,Supermarket Type2,3367.6164
DR,11.8,lf,0.11507174,Soft Drinks,198.2084,13,37,High,Tier 3,Supermarket Type1,3769.7596
FD,21.25,lf,0.01001904,Meat,184.6608,45,22,Small,Tier 2,Supermarket Type1,367.5216
FD,11.0,reg,0.087847141,Frozen Foods,156.863,46,27,Small,Tier 1,Supermarket Type1,2972.797
FD,12.3,reg,0.064750025,Starchy Foods,92.6804,45,22,Small,Tier 2,Supermarket Type1,1010.6844
FD,13.42606890459364,reg,0.045763623,Dairy,43.8744,27,39,Medium,Tier 3,Supermarket Type3,1222.4088
FD,15.75,lf,0.055241242,Baking Goods,196.5452,17,17,Small,Tier 2,Supermarket Type1,3131.9232
FD,17.6,lf,0.105472205,Snack Foods,165.6868,17,17,Small,Tier 2,Supermarket Type1,3111.9492
FD,12.987879554655871,reg,0.035334201,Snack Foods,115.3518,27,39,Medium,Tier 3,Supermarket Type3,2277.036
NC,20.0,lf,0.136124989,Others,38.319,10,26,Small,Tier 3,Grocery Store,146.476
FD,13.65,reg,0.013064516,Fruits and Vegetables,115.5834,45,22,Small,Tier 2,Supermarket Type1,1382.2008
FD,8.05,reg,0.07884393,Fruits and Vegetables,257.0646,17,17,Small,Tier 2,Supermarket Type1,8760.5964
FD,6.115,reg,0.011437302,Frozen Foods,92.4488,17,17,Small,Tier 2,Supermarket Type1,1358.232
FD,9.5,reg,0.104488444,Canned,77.896,35,20,Small,Tier 2,Supermarket Type1,1997.4
FD,5.985,lf,0.0,Frozen Foods,125.2678,35,20,Small,Tier 2,Supermarket Type1,1017.3424
FD,5.425,reg,0.191603334,Baking Goods,87.0514,10,26,Small,Tier 3,Grocery Store,88.5514
FD,12.35,lf,0.026832182,Canned,57.3246,17,17,Small,Tier 2,Supermarket Type1,1332.2658
FD,12.987879554655871,lf,0.091354948,Snack Foods,122.3072,19,39,Small,Tier 1,Grocery Store,122.5072
FD,12.987879554655871,reg,0.038341654,Snack Foods,146.2102,27,39,Medium,Tier 3,Supermarket Type3,4228.4958
FD,10.0,lf,0.046116319,Frozen Foods,141.818,17,17,Small,Tier 2,Supermarket Type1,838.908
FD,12.5,reg,0.110163385,Fruits and Vegetables,83.6592,49,25,Medium,Tier 1,Supermarket Type1,1320.9472
FD,18.2,lf,0.161817014,Fruits and Vegetables,37.819,45,22,Small,Tier 2,Supermarket Type1,219.714
FD,6.155,reg,0.094807042,Meat,213.356,49,25,Medium,Tier 1,Supermarket Type1,3835.008
FD,9.8,lf,0.047260402,Baking Goods,102.8016,49,25,Medium,Tier 1,Supermarket Type1,1922.8304
FD,16.5,lf,0.028579565,Snack Foods,90.3146,17,17,Small,Tier 2,Supermarket Type1,2554.0088
FD,7.71,reg,0.047857877,Dairy,119.7756,17,17,Small,Tier 2,Supermarket Type1,3029.39
FD,20.5,lf,0.142370445,Starchy Foods,90.6172,18,15,Medium,Tier 3,Supermarket Type2,1427.4752
FD,9.3,lf,0.028566433,Baking Goods,193.0136,49,25,Medium,Tier 1,Supermarket Type1,4860.34
FD,12.15,lf,0.015523707,Frozen Foods,212.0928,18,15,Medium,Tier 3,Supermarket Type2,2735.1064
FD,5.78,reg,0.07429945,Snack Foods,264.9568,45,22,Small,Tier 2,Supermarket Type1,1845.5976
FD,16.1,reg,0.047996608,Frozen Foods,127.0362,18,15,Medium,Tier 3,Supermarket Type2,1384.1982
NC,13.384736495388669,lf,0.026769592,Household,77.0354,27,39,Medium,Tier 3,Supermarket Type3,2332.2974
NC,8.76,lf,0.050256604,Health and Hygiene,127.3336,18,15,Medium,Tier 3,Supermarket Type2,2684.5056
FD,6.785,reg,0.023021406,Snack Foods,208.9928,45,22,Small,Tier 2,Supermarket Type1,2103.928
FD,14.3,lf,0.123264522,Dairy,123.273,17,17,Small,Tier 2,Supermarket Type1,1108.557
FD,16.75,reg,0.013711274,Canned,100.2674,10,26,Small,Tier 3,Grocery Store,203.7348
FD,13.224769381746812,lf,0.012090074,Fruits and Vegetables,38.2848,27,39,Medium,Tier 3,Supermarket Type3,484.7024
DR,8.88,lf,0.086781204,Hard Drinks,152.2682,46,27,Small,Tier 1,Supermarket Type1,1829.6184
FD,13.65,lf,0.065618434,Frozen Foods,47.6402,35,20,Small,Tier 2,Supermarket Type1,459.402
DR,19.6,lf,0.024325592,Dairy,48.5718,18,15,Medium,Tier 3,Supermarket Type2,425.4462
FD,19.2,reg,0.09391835,Frozen Foods,189.8214,46,27,Small,Tier 1,Supermarket Type1,942.107
FD,12.867061281337046,reg,0.082002559,Frozen Foods,59.2588,27,39,Medium,Tier 3,Supermarket Type3,1374.2112
FD,14.8,lf,0.081168135,Meat,190.5846,49,25,Medium,Tier 1,Supermarket Type1,3630.6074
FD,17.1,lf,0.054428368,Breads,84.9566,18,15,Medium,Tier 3,Supermarket Type2,1014.6792
DR,11.847459893048129,lf,0.065188619,Soft Drinks,181.1634,19,39,Small,Tier 1,Grocery Store,181.7634
FD,11.8,reg,0.106968096,Dairy,221.6772,13,37,High,Tier 3,Supermarket Type1,3113.2808
NC,6.965,lf,0.047784475,Household,158.8604,10,26,Small,Tier 3,Grocery Store,316.9208
NC,6.235,lf,0.118674359,Household,261.691,46,27,Small,Tier 1,Supermarket Type1,3155.892
DR,6.115,reg,0.007055292,Soft Drinks,188.653,49,25,Medium,Tier 1,Supermarket Type1,3605.307
FD,13.42606890459364,reg,0.067624438,Dairy,120.944,27,39,Medium,Tier 3,Supermarket Type3,1078.596
NC,5.175,lf,0.030479118,Health and Hygiene,33.2874,18,15,Medium,Tier 3,Supermarket Type2,635.1732
FD,11.346936274509805,lf,0.0514111,Breads,33.0558,27,39,Medium,Tier 3,Supermarket Type3,984.7182
FD,19.7,lf,0.077899109,Baking Goods,177.766,35,20,Small,Tier 2,Supermarket Type1,2696.49
NC,16.0,lf,0.072608647,Household,228.3668,13,37,High,Tier 3,Supermarket Type1,5298.4364
FD,7.21,reg,0.145220646,Snack Foods,103.1332,18,15,Medium,Tier 3,Supermarket Type2,1845.5976
FD,17.7,lf,0.029914022,Snack Foods,166.2816,13,37,High,Tier 3,Supermarket Type1,2516.724
FD,6.935,reg,0.041247932,Snack Foods,101.8332,13,37,High,Tier 3,Supermarket Type1,2255.7304
FD,15.5,reg,0.101335811,Fruits and Vegetables,196.5768,17,17,Small,Tier 2,Supermarket Type1,3350.3056
DR,8.93,lf,0.028411899,Dairy,152.334,35,20,Small,Tier 2,Supermarket Type1,2143.876
FD,7.02,lf,0.081290366,Fruits and Vegetables,147.3734,49,25,Medium,Tier 1,Supermarket Type1,2524.0478
FD,8.315,reg,0.059540542,Baking Goods,143.6444,10,26,Small,Tier 3,Grocery Store,145.1444
DR,8.27,reg,0.128126825,Soft Drinks,183.6924,49,25,Medium,Tier 1,Supermarket Type1,1295.6468
DR,17.25,lf,0.084316691,Soft Drinks,263.391,35,20,Small,Tier 2,Supermarket Type1,6311.784
FD,15.1,reg,0.067181098,Snack Foods,258.8304,49,25,Medium,Tier 1,Supermarket Type1,5424.9384
DR,11.847459893048129,lf,0.043168763,Soft Drinks,82.8592,19,39,Small,Tier 1,Grocery Store,165.1184
FD,8.71,lf,0.121149472,Canned,93.7778,13,37,High,Tier 3,Supermarket Type1,1783.6782
FD,13.224769381746812,reg,0.086077865,Fruits and Vegetables,143.8102,19,39,Small,Tier 1,Grocery Store,291.6204
FD,8.975,reg,0.009057132,Canned,104.099,35,20,Small,Tier 2,Supermarket Type1,2476.776
NC,7.475,lf,0.076036381,Household,153.9656,18,15,Medium,Tier 3,Supermarket Type2,2625.9152
NC,13.14231395348837,lf,0.024358634,Health and Hygiene,190.4214,27,39,Medium,Tier 3,Supermarket Type3,5652.642
FD,15.0,reg,0.161762835,Canned,185.9266,45,22,Small,Tier 2,Supermarket Type1,2581.9724
NC,6.59,lf,0.0,Household,119.1098,17,17,Small,Tier 2,Supermarket Type1,964.0784
FD,21.25,lf,0.155250377,Snack Foods,175.737,13,37,High,Tier 3,Supermarket Type1,2117.244
FD,6.935,reg,0.041282286,Snack Foods,103.5332,46,27,Small,Tier 1,Supermarket Type1,1230.3984
FD,17.5,lf,0.01558456,Fruits and Vegetables,185.1266,49,25,Medium,Tier 1,Supermarket Type1,4795.0916
NC,6.36,lf,0.005977465,Household,163.3526,35,20,Small,Tier 2,Supermarket Type1,2631.2416
FD,5.94,reg,0.049163321,Breads,186.4556,10,26,Small,Tier 3,Grocery Store,563.2668
FD,17.1,lf,0.054514169,Breads,84.4566,17,17,Small,Tier 2,Supermarket Type1,591.8962
FD,13.224769381746812,reg,0.214423791,Fruits and Vegetables,111.6544,19,39,Small,Tier 1,Grocery Store,335.5632
FD,12.35,reg,0.033813351,Meat,198.1426,49,25,Medium,Tier 1,Supermarket Type1,3757.1094
NC,16.0,lf,0.099290166,Household,214.0902,49,25,Medium,Tier 1,Supermarket Type1,1486.7314
FD,4.905,lf,0.1175683,Canned,197.6768,45,22,Small,Tier 2,Supermarket Type1,2956.152
NC,8.18,lf,0.0132043,Household,143.8154,17,17,Small,Tier 2,Supermarket Type1,2694.4926
DR,8.21,lf,0.010762387,Hard Drinks,149.5392,35,20,Small,Tier 2,Supermarket Type1,1789.6704
FD,9.8,reg,0.056339618,Breads,84.2908,13,37,High,Tier 3,Supermarket Type1,755.0172
FD,17.25,reg,0.125419157,Breakfast,40.048,49,25,Medium,Tier 1,Supermarket Type1,399.48
NC,18.85,lf,0.0520115,Health and Hygiene,190.3846,13,37,High,Tier 3,Supermarket Type1,3630.6074
FD,16.1,reg,0.047792845,Frozen Foods,126.1362,35,20,Small,Tier 2,Supermarket Type1,3271.7412
NC,14.75,lf,0.032862976,Health and Hygiene,238.6906,13,37,High,Tier 3,Supermarket Type1,4278.4308
FD,11.3,lf,0.007273831,Meat,196.6426,13,37,High,Tier 3,Supermarket Type1,5141.3076
FD,17.7,reg,0.122565413,Meat,103.8674,17,17,Small,Tier 2,Supermarket Type1,1528.011
FD,9.3,reg,0.111673587,Breads,65.7826,18,15,Medium,Tier 3,Supermarket Type2,968.739
FD,15.5,reg,0.126199917,Fruits and Vegetables,178.4028,18,15,Medium,Tier 3,Supermarket Type2,1239.7196
FD,14.0,reg,0.041949832,Snack Foods,54.064,35,20,Small,Tier 2,Supermarket Type1,1118.544
FD,16.35,reg,0.062359467,Fruits and Vegetables,224.0062,13,37,High,Tier 3,Supermarket Type1,4288.4178
FD,13.65,reg,0.18520944,Canned,212.9902,17,17,Small,Tier 2,Supermarket Type1,3185.853
FD,13.224769381746812,reg,0.058142797,Fruits and Vegetables,162.1552,27,39,Medium,Tier 3,Supermarket Type3,3086.6488
NC,13.14231395348837,lf,0.0,Health and Hygiene,100.8042,27,39,Medium,Tier 3,Supermarket Type3,3472.147
FD,15.0,reg,0.078172471,Meat,238.8248,45,22,Small,Tier 2,Supermarket Type1,3555.372
FD,15.6,lf,0.037764269,Snack Foods,124.9704,45,22,Small,Tier 2,Supermarket Type1,2253.0672
FD,19.5,lf,0.082719632,Canned,179.3002,45,22,Small,Tier 2,Supermarket Type1,2865.6032
NC,19.5,lf,0.015711807,Household,181.8608,13,37,High,Tier 3,Supermarket Type1,4042.7376
FD,11.0,reg,0.057290978,Fruits and Vegetables,242.7512,18,15,Medium,Tier 3,Supermarket Type2,1938.8096
NC,12.8,lf,0.091221855,Others,105.5938,45,22,Small,Tier 2,Supermarket Type1,2143.876
FD,15.5,reg,0.075868843,Baking Goods,261.7568,49,25,Medium,Tier 1,Supermarket Type1,1845.5976
FD,15.1,lf,0.095545715,Baking Goods,157.3604,18,15,Medium,Tier 3,Supermarket Type2,4436.8912
FD,11.5,reg,0.125602951,Frozen Foods,100.8358,46,27,Small,Tier 1,Supermarket Type1,2111.2518
FD,6.59,lf,0.176748258,Fruits and Vegetables,82.7908,10,26,Small,Tier 3,Grocery Store,83.8908
FD,19.7,lf,0.077849003,Baking Goods,179.166,13,37,High,Tier 3,Supermarket Type1,3056.022
FD,13.69073076923077,lf,0.043025208,Starchy Foods,37.6164,27,39,Medium,Tier 3,Supermarket Type3,810.9444
DR,18.35,reg,0.0,Dairy,151.934,13,37,High,Tier 3,Supermarket Type1,306.268
NC,15.0,lf,0.044978225,Health and Hygiene,140.8838,49,25,Medium,Tier 1,Supermarket Type1,2247.7408
DR,11.847459893048129,reg,0.108568067,Soft Drinks,42.9112,27,39,Medium,Tier 3,Supermarket Type3,809.6128
NC,18.85,lf,0.016107549,Health and Hygiene,129.7626,46,27,Small,Tier 1,Supermarket Type1,3016.7398
FD,13.42606890459364,reg,0.299097859,Dairy,157.863,19,39,Small,Tier 1,Grocery Store,469.389
FD,19.75,lf,0.041448824,Fruits and Vegetables,116.5466,45,22,Small,Tier 2,Supermarket Type1,2828.3184
FD,13.224769381746812,lf,0.039576776,Fruits and Vegetables,179.9318,19,39,Small,Tier 1,Grocery Store,360.8636
FD,12.987879554655871,lf,0.019671473,Snack Foods,214.756,19,39,Small,Tier 1,Grocery Store,213.056
FD,12.305705009276437,lf,0.032516546,Canned,188.8214,19,39,Small,Tier 1,Grocery Store,753.6856
DR,13.15,lf,0.056516756,Soft Drinks,143.4812,49,25,Medium,Tier 1,Supermarket Type1,854.8872
FD,15.35,reg,0.0,Fruits and Vegetables,193.0504,49,25,Medium,Tier 1,Supermarket Type1,2492.7552
NC,18.75,lf,0.052252908,Health and Hygiene,105.728,18,15,Medium,Tier 3,Supermarket Type2,1704.448
FD,15.0,lf,0.058346234,Snack Foods,44.0744,13,37,High,Tier 3,Supermarket Type1,633.8416
FD,14.8,lf,0.081042136,Meat,192.4846,46,27,Small,Tier 1,Supermarket Type1,5159.2842
NC,10.0,lf,0.021407511,Household,248.175,13,37,High,Tier 3,Supermarket Type1,3495.45
FD,12.987879554655871,reg,0.037768989,Snack Foods,88.5856,27,39,Medium,Tier 3,Supermarket Type3,1845.5976
FD,17.5,lf,0.026195131,Snack Foods,252.6356,45,22,Small,Tier 2,Supermarket Type1,2543.356
FD,13.42606890459364,reg,0.106538757,Dairy,222.3772,27,39,Medium,Tier 3,Supermarket Type3,1556.6404
FD,18.75,lf,0.053025371,Snack Foods,192.5504,18,15,Medium,Tier 3,Supermarket Type2,2109.2544
FD,11.8,reg,0.057373797,Meat,151.4366,13,37,High,Tier 3,Supermarket Type1,1360.2294
FD,10.195,lf,0.042113173,Snack Foods,42.5428,18,15,Medium,Tier 3,Supermarket Type2,878.856
FD,13.65,reg,0.012823829,Snack Foods,55.5588,17,17,Small,Tier 2,Supermarket Type1,916.1408
NC,13.384736495388669,reg,0.102941345,Household,171.2448,27,39,Medium,Tier 3,Supermarket Type3,4602.0096
FD,17.75,reg,0.029821648,Fruits and Vegetables,139.9838,17,17,Small,Tier 2,Supermarket Type1,1123.8704
FD,13.5,reg,0.129077455,Starchy Foods,95.2068,45,22,Small,Tier 2,Supermarket Type1,583.2408
NC,13.384736495388669,reg,0.026058181,Household,121.9098,27,39,Medium,Tier 3,Supermarket Type3,3374.2744
FD,20.25,reg,0.076314907,Dairy,196.7794,45,22,Small,Tier 2,Supermarket Type1,2731.1116
FD,11.35,reg,0.043333912,Fruits and Vegetables,201.0742,18,15,Medium,Tier 3,Supermarket Type2,2189.8162
FD,12.552843137254904,lf,0.054670967,Seafood,158.6604,19,39,Small,Tier 1,Grocery Store,316.9208
NC,13.14231395348837,lf,0.156094569,Health and Hygiene,144.3102,19,39,Small,Tier 1,Grocery Store,145.8102
FD,16.0,reg,0.115570552,Fruits and Vegetables,57.5246,35,20,Small,Tier 2,Supermarket Type1,173.7738
FD,5.8,reg,0.131489269,Dairy,89.7172,18,15,Medium,Tier 3,Supermarket Type2,1605.9096
FD,17.75,reg,0.073709686,Seafood,35.1216,18,15,Medium,Tier 3,Supermarket Type2,415.4592
FD,14.3,lf,0.122761775,Dairy,124.373,49,25,Medium,Tier 1,Supermarket Type1,2093.941
NC,7.93,lf,0.07113587,Health and Hygiene,42.7086,46,27,Small,Tier 1,Supermarket Type1,356.8688
DR,11.847459893048129,reg,0.127308434,Soft Drinks,186.6924,27,39,Medium,Tier 3,Supermarket Type3,7033.5112
FD,11.6,reg,0.077150004,Frozen Foods,170.2106,35,20,Small,Tier 2,Supermarket Type1,1882.2166
FD,18.25,lf,0.015309885,Snack Foods,197.6084,45,22,Small,Tier 2,Supermarket Type1,2380.9008
NC,13.384736495388669,lf,0.077132215,Household,197.411,27,39,Medium,Tier 3,Supermarket Type3,5892.33
NC,13.14231395348837,lf,0.020876485,Health and Hygiene,133.7942,27,39,Medium,Tier 3,Supermarket Type3,1722.4246
DR,6.115,reg,0.007084185,Soft Drinks,191.153,17,17,Small,Tier 2,Supermarket Type1,3415.554
FD,12.305705009276437,lf,0.113669629,Canned,89.0198,19,39,Small,Tier 1,Grocery Store,174.4396
DR,19.1,lf,0.045270426,Dairy,38.8138,13,37,High,Tier 3,Supermarket Type1,731.0484
DR,6.385,lf,0.084008316,Hard Drinks,108.2596,45,22,Small,Tier 2,Supermarket Type1,1186.4556
FD,12.552843137254904,reg,0.145591438,Seafood,148.705,27,39,Medium,Tier 3,Supermarket Type3,1797.66
NC,13.384736495388669,lf,0.028048877,Household,106.1964,19,39,Small,Tier 1,Grocery Store,210.3928
NC,19.85,lf,0.026074491,Household,48.6376,18,15,Medium,Tier 3,Supermarket Type2,575.2512
NC,9.6,lf,0.02981155,Household,45.2086,17,17,Small,Tier 2,Supermarket Type1,669.129
NC,13.14231395348837,lf,0.0,Health and Hygiene,123.473,19,39,Small,Tier 1,Grocery Store,369.519
NC,16.2,lf,0.050442528,Household,190.8162,45,22,Small,Tier 2,Supermarket Type1,2693.8268
FD,18.25,lf,0.075620262,Snack Foods,123.8046,17,17,Small,Tier 2,Supermarket Type1,3486.1288
FD,12.305705009276437,reg,0.160653682,Canned,185.2266,27,39,Medium,Tier 3,Supermarket Type3,5901.6512
FD,14.35,lf,0.080594133,Baking Goods,80.996,46,27,Small,Tier 1,Supermarket Type1,1757.712
FD,10.1,lf,0.027106459,Meat,75.367,49,25,Medium,Tier 1,Supermarket Type1,535.969
NC,19.0,lf,0.017755213,Health and Hygiene,211.7244,45,22,Small,Tier 2,Supermarket Type1,2752.4172
FD,12.65,reg,0.07603021,Frozen Foods,189.0846,35,20,Small,Tier 2,Supermarket Type1,4012.7766
FD,5.635,lf,0.103481775,Baking Goods,150.005,45,22,Small,Tier 2,Supermarket Type1,1797.66
DR,8.26,lf,0.057585723,Hard Drinks,113.7834,10,26,Small,Tier 3,Grocery Store,115.1834
FD,16.75,lf,0.08165147,Fruits and Vegetables,258.3988,18,15,Medium,Tier 3,Supermarket Type2,1541.9928
FD,6.635,reg,0.0,Frozen Foods,39.7506,13,37,High,Tier 3,Supermarket Type1,303.6048
FD,8.75,reg,0.074565098,Fruits and Vegetables,186.8556,13,37,High,Tier 3,Supermarket Type1,7322.4684
FD,19.85,lf,0.044566659,Dairy,88.5856,49,25,Medium,Tier 1,Supermarket Type1,703.0848
FD,13.224769381746812,lf,0.041970938,Fruits and Vegetables,55.4272,19,39,Small,Tier 1,Grocery Store,111.8544
FD,11.8,reg,0.07665661,Snack Foods,32.3558,13,37,High,Tier 3,Supermarket Type1,169.779
FD,17.7,reg,0.027779381,Fruits and Vegetables,50.1034,10,26,Small,Tier 3,Grocery Store,97.2068
FD,11.6,reg,0.157075658,Breakfast,166.6474,49,25,Medium,Tier 1,Supermarket Type1,4211.185
FD,13.3,lf,0.06356617,Frozen Foods,151.3708,46,27,Small,Tier 1,Supermarket Type1,3611.2992
NC,13.384736495388669,lf,0.183948465,Household,33.6216,27,39,Medium,Tier 3,Supermarket Type3,934.7832
FD,7.07,lf,0.093653464,Snack Foods,113.3834,35,20,Small,Tier 2,Supermarket Type1,1267.0174
FD,12.867061281337046,lf,0.085715273,Frozen Foods,146.6076,27,39,Medium,Tier 3,Supermarket Type3,1773.6912
FD,8.63,lf,0.031143591,Snack Foods,183.9582,49,25,Medium,Tier 1,Supermarket Type1,5386.9878
FD,15.85,lf,0.069100548,Breads,216.6166,46,27,Small,Tier 1,Supermarket Type1,4136.6154
FD,12.987879554655871,reg,0.076348933,Snack Foods,32.8558,27,39,Medium,Tier 3,Supermarket Type3,713.0718
FD,8.68,lf,0.008828341,Frozen Foods,99.9384,13,37,High,Tier 3,Supermarket Type1,689.7688
NC,13.14231395348837,lf,0.089343433,Health and Hygiene,157.3604,27,39,Medium,Tier 3,Supermarket Type3,6021.4952
FD,12.552843137254904,lf,0.073055148,Seafood,33.7216,27,39,Medium,Tier 3,Supermarket Type3,1280.9992
FD,13.224769381746812,lf,0.04506213,Fruits and Vegetables,167.5474,19,39,Small,Tier 1,Grocery Store,1010.6844
FD,13.224769381746812,lf,0.127792701,Fruits and Vegetables,111.1886,27,39,Medium,Tier 3,Supermarket Type3,4447.544
DR,15.35,lf,0.020326962,Soft Drinks,216.7508,46,27,Small,Tier 1,Supermarket Type1,1736.4064
FD,13.35,reg,0.0,Breads,217.6166,18,15,Medium,Tier 3,Supermarket Type2,3265.749
FD,12.3,lf,0.036590807,Frozen Foods,193.3162,10,26,Small,Tier 3,Grocery Store,192.4162
